station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,20:55
002 Comédie,11,13,24,2022,01-15,20:55
003 Esplanade,0,32,32,2022,01-15,20:55
004 Hôtel de Ville,6,10,16,2022,01-15,20:55
005 Corum,7,5,12,2022,01-15,20:55
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,20:55
007 Foch,1,7,8,2022,01-15,20:55
008 Halles Castellane,3,9,12,2022,01-15,20:55
009 Observatoire,1,7,8,2022,01-15,20:55
010 Rondelet,4,12,16,2022,01-15,20:55
011 Plan Cabanes,7,5,12,2022,01-15,20:55
012 Boutonnet,6,6,12,2022,01-15,20:55
013 Emile Combes,6,2,8,2022,01-15,20:55
014 Beaux-Arts,6,2,8,2022,01-15,20:55
015 Les Aubes,7,1,8,2022,01-15,20:55
016 Antigone centre,7,9,16,2022,01-15,20:55
017 Médiathèque Emile Zola,7,9,16,2022,01-15,20:55
018 Nombre d'Or,8,8,16,2022,01-15,20:55
019 Louis Blanc,3,13,16,2022,01-15,20:55
020 Gambetta,2,6,8,2022,01-15,20:55
021 Port Marianne,14,2,16,2022,01-15,20:55
022 Clemenceau,0,12,12,2022,01-15,20:55
023 Les Arceaux,7,9,16,2022,01-15,20:55
024 Cité Mion,3,5,8,2022,01-15,20:55
025 Nouveau Saint-Roch,3,5,8,2022,01-15,20:55
026 Renouvier,3,5,8,2022,01-15,20:55
027 Odysseum,5,3,8,2022,01-15,20:55
028 Saint-Denis,4,4,8,2022,01-15,20:55
029 Richter,12,4,16,2022,01-15,20:55
030 Charles Flahault,3,5,8,2022,01-15,20:55
031 Voltaire,6,2,8,2022,01-15,20:55
032 Prés d'Arènes,8,0,8,2022,01-15,20:55
033 Garcia Lorca,7,1,8,2022,01-15,20:55
034 Vert Bois,0,16,16,2022,01-15,20:55
035 Malbosc,4,4,8,2022,01-15,20:55
036 Occitanie,1,31,32,2022,01-15,20:55
037 FacdesSciences,3,21,24,2022,01-15,20:55
038 Fac de Lettres,0,16,16,2022,01-15,20:55
039 Aiguelongue,8,0,8,2022,01-15,20:55
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,20:55
041 Euromédecine,3,5,8,2022,01-15,20:55
042 Marie Caizergues,0,8,8,2022,01-15,20:55
043 Sabines,6,2,8,2022,01-15,20:55
044 Celleneuve,6,2,8,2022,01-15,20:55
045 Jardin de la Lironde,4,4,8,2022,01-15,20:55
046 Père Soulas,5,3,8,2022,01-15,20:55
047 Place Viala,4,4,8,2022,01-15,20:55
048 Hôtel du Département,2,6,8,2022,01-15,20:55
049 Tonnelles,1,7,8,2022,01-15,20:55
050 Parvis Jules Ferry - Gare Saint-Roch,3,5,8,2022,01-15,20:55
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,20:55
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,20:55
054 Providence - Ovalie,0,8,8,2022,01-15,20:55
055 Pérols Etang de l'Or,22,46,68,2022,01-15,20:55
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,20:55
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,20:55
059 Sud De France,1,7,8,2022,01-15,20:55
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:00
002 Comédie,11,13,24,2022,01-15,21:00
003 Esplanade,0,32,32,2022,01-15,21:00
004 Hôtel de Ville,6,10,16,2022,01-15,21:00
005 Corum,7,5,12,2022,01-15,21:00
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:00
